x,y,n,size
55,60,1,0.5
55,100,5,2.5
55,120,9,4.5
55,140,3,1.5
55,160,10,5
55,180,12,6
55,200,2,1
55,220,6,3
55,240,1,0.5
55,260,1,0.5
55,280,1,0.5
55,300,1,0.5
55,320,1,0.5
55,380,4,2
55,400,1,0.5
65,60,3,1.5
65,80,2,1
65,100,3,1.5
65,140,4,2
65,160,1,0.5
65,180,3,1.5
65,200,1,0.5
65,220,3,1.5
65,240,2,1
65,260,2,1
65,280,1,0.5
65,300,1,0.5
65,380,2,1
65,400,1,0.5
75,60,3,1.5
75,80,2,1
75,100,1,0.5
75,140,1,0.5
75,160,1,0.5
75,180,2,1
75,220,5,2.5
75,240,1,0.5
75,320,1,0.5
75,340,1,0.5
75,360,1,0.5
85,60,1,0.5
85,120,2,1
85,140,1,0.5
85,160,2,1
85,200,1,0.5
85,340,2,1
85,380,1,0.5
95,100,6,3
95,160,1,0.5
95,180,1,0.5
95,220,1,0.5
95,260,1,0.5
95,300,1,0.5
95,400,1,0.5
105,100,1,0.5
105,220,1,0.5
105,340,2,1
115,60,1,0.5
115,80,1,0.5
115,280,1,0.5
125,80,2,1
125,260,1,0.5
125,280,2,1
135,360,1,0.5
145,240,1,0.5
155,340,1,0.5
195,100,1,0.5
195,240,1,0.5
195,260,1,0.5
195,400,1,0.5
